layer,prompt_id,cosine_similarity,mae,rmse,max_error,drift_pct_01,drift_pct_05,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,relative_diff
0,0,0.9999421,0.0009785952,0.0021410414,0.020909786,0.0,0.0,1.0,1.0,1.0,1.0,1.4944272
1,0,0.99987006,0.0015167255,0.003682316,0.035874367,0.0,0.0,1.0,1.0,1.0,1.0,4.5672374
2,0,0.9998623,0.0016840049,0.003768321,0.028607905,0.0,0.0,1.0,1.0,0.96,1.0,3.9450202
3,0,0.9998428,0.001995439,0.0042904685,0.03208196,0.0,0.0,1.0,1.0,1.0,1.0,5.535062
4,0,0.9998503,0.002423115,0.0044254297,0.0278247,0.0,0.0,1.0,1.0,0.9800000000000001,1.0,6.754092
5,0,0.999776,0.0028639666,0.005887414,0.04037404,0.0,0.0,1.0,0.9666666666666666,0.9800000000000001,1.0,6.282887
0,1,0.99995,0.0011771725,0.0021981262,0.015449703,0.0,0.0,1.0,1.0,1.0,0.8,1.527372
1,1,0.9998938,0.0018230113,0.003734268,0.028589547,0.0,0.0,1.0,1.0,1.0,0.8,4.9396935
2,1,0.9998637,0.002311405,0.0045546503,0.03396672,0.0,0.0,1.0,1.0,0.95,0.8,4.4207397
3,1,0.99989724,0.0019832663,0.0041692336,0.036809087,0.0,0.0,1.0,1.0,0.975,0.8,5.777204
4,1,0.99984556,0.0031076323,0.0052902885,0.026468277,0.0,0.0,1.0,0.9583333333333333,0.95,0.8,7.0596004
5,1,0.9998922,0.0022215901,0.003910675,0.024196982,0.0,0.0,1.0,1.0,0.975,0.8,3.6423635
0,2,0.99992126,0.0022240882,0.0039835237,0.02406311,0.0,0.0,1.0,1.0,1.0,0.5,1.8308573
1,2,0.9998831,0.0028981045,0.005253977,0.027157918,0.0,0.0,1.0,1.0,1.0,0.5,4.2095604
2,2,0.99993825,0.0022115803,0.0040274207,0.019759238,0.0,0.0,1.0,1.0,1.0,0.5,2.8373382
3,2,0.999888,0.0030337782,0.0058463644,0.030542463,0.0,0.0,1.0,1.0,1.0,0.5,5.6957455
4,2,0.99986166,0.004213459,0.0063747205,0.034035027,0.0,0.0,1.0,1.0,1.0,0.5,5.396171
5,2,0.9998499,0.003692843,0.0063210516,0.027823538,0.0,0.0,1.0,0.9333333333333332,1.0,0.5,4.340467
0,3,0.99996924,0.0010071938,0.001781767,0.009999871,0.0,0.0,1.0,1.0,1.0,0.8,1.3856008
1,3,0.99990493,0.0017752677,0.003378627,0.018341959,0.0,0.0,1.0,1.0,1.0,0.8,4.780789
2,3,0.9998224,0.002360455,0.004813985,0.03260824,0.0,0.0,1.0,1.0,0.95,0.8,3.7631977
3,3,0.9998225,0.0025111756,0.0052833823,0.043611825,0.0,0.0,1.0,1.0,1.0,0.8,6.0278425
4,3,0.9997816,0.0030330594,0.0053946916,0.03691426,0.0,0.0,1.0,1.0,0.975,0.8,5.3057475
