layer,prompt_id,cosine_similarity,mae,rmse,max_error,drift_pct_01,drift_pct_05,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,relative_diff
0,0,0.9999907,0.00051648467,0.0011752277,0.008296639,0.0,0.0,1.0,1.0,1.0,0.8,0.58178365
1,0,0.9998951,0.0016482644,0.0039789616,0.03830552,0.0,0.0,1.0,1.0,1.0,0.8,1.6919342
2,0,0.99916244,0.004617062,0.011180278,0.091242015,0.0,1.0416666666666665,1.0,1.0,1.0,0.8,3.7945223
3,0,0.99905926,0.005136646,0.012477008,0.08846304,0.0,1.3020833333333335,1.0,1.0,1.0,0.8,5.7275457
4,0,0.9995806,0.003246377,0.008938186,0.07388759,0.0,0.6510416666666667,1.0,0.9583333333333333,1.0,0.8,6.4424715
5,0,0.99967915,0.0026638487,0.008173135,0.08493018,0.0,0.5208333333333333,1.0,0.9583333333333333,1.0,0.8,7.66609
6,0,0.9997761,0.0024008318,0.0065911035,0.057264388,0.0,0.390625,1.0,1.0,1.0,0.8,4.630573
7,0,0.99978584,0.0018649428,0.006757433,0.07884103,0.0,0.26041666666666663,1.0,1.0,1.0,0.8,5.0325484
8,0,0.9999133,0.0015070684,0.004205212,0.0506815,0.0,0.13020833333333331,1.0,1.0,1.0,0.8,3.7668233
9,0,0.99972695,0.0020672872,0.0076707317,0.07676351,0.0,0.78125,1.0,1.0,1.0,0.8,4.36758
10,0,0.99994427,0.0010039303,0.003556117,0.0425694,0.0,0.0,1.0,1.0,1.0,0.8,3.3954751
11,0,0.9999286,0.0013761813,0.003866929,0.036284357,0.0,0.0,1.0,1.0,1.0,0.8,2.7145138
0,1,0.9999891,0.0007144806,0.0016771562,0.010271132,0.0,0.0,1.0,1.0,1.0,0.5,0.544592
1,1,0.9999322,0.0021322952,0.004247789,0.021689773,0.0,0.0,1.0,1.0,1.0,0.5,1.4076046
2,1,0.99951124,0.00525609,0.011412324,0.06058055,0.0,0.6666666666666667,1.0,1.0,1.0,0.5,3.269248
3,1,0.9973978,0.0123051,0.027898049,0.1534344,1.3333333333333335,7.666666666666666,1.0,0.9333333333333332,1.0,0.5,7.963758
4,1,0.9992056,0.006271288,0.01581506,0.095229864,0.0,3.0,1.0,1.0,1.0,0.5,7.552226
5,1,0.9993236,0.0058703194,0.014479932,0.0953629,0.0,2.3333333333333335,1.0,0.9333333333333333,1.0,0.5,4.876952
6,1,0.999725,0.0038859947,0.009561973,0.07486063,0.0,1.0,1.0,1.0,1.0,0.5,4.5029783
7,1,0.9998641,0.0033377619,0.00701707,0.043521047,0.0,0.0,1.0,1.0,1.0,0.5,5.194401
8,1,0.9997809,0.004072288,0.008432121,0.042224467,0.0,0.0,1.0,1.0,1.0,0.5,3.4964523
9,1,0.9998725,0.0027245537,0.0065304134,0.037582934,0.0,0.0,1.0,1.0,1.0,0.5,3.523108
10,1,0.9999321,0.0021036558,0.0048324885,0.039476395,0.0,0.0,1.0,1.0,1.0,0.5,2.8577106
11,1,0.999907,0.0025386629,0.0053825746,0.03066644,0.0,0.0,1.0,1.0,1.0,0.5,2.7164829
0,2,0.9999955,0.0006121792,0.0012908216,0.008013248,0.0,0.0,1.0,1.0,0.8,0.4,0.41332623
1,2,0.9999726,0.0016846041,0.0031510752,0.012217641,0.0,0.0,1.0,1.0,0.8,0.4,1.0124149
2,2,0.9997717,0.0041023055,0.00933898,0.067403436,0.0,1.0416666666666665,1.0,1.0,0.8,0.4,2.6040962
3,2,0.9995084,0.006406125,0.014341306,0.06797719,0.0,3.125,1.0,1.0,0.8,0.4,5.545719
4,2,0.99957955,0.0050456375,0.013472902,0.073159575,0.0,2.604166666666667,1.0,1.0,0.8,0.4,6.7939787
5,2,0.99980223,0.003943704,0.00919075,0.05356908,0.0,0.5208333333333333,1.0,1.0,0.8,0.4,5.0122213
6,2,0.9999477,0.0022663309,0.0048387027,0.028236918,0.0,0.0,1.0,1.0,0.8,0.4,3.4980054
7,2,0.9998805,0.0032091031,0.0073742475,0.032388866,0.0,0.0,1.0,1.0,0.8,0.4,4.030803
8,2,0.9999302,0.0026574333,0.0054702447,0.030119091,0.0,0.0,1.0,1.0,0.8,0.4,3.2346349
9,2,0.99980503,0.0034227613,0.009187003,0.06810498,0.0,0.5208333333333333,1.0,1.0,0.8,0.4,2.9112773
10,2,0.9999131,0.0026195403,0.006116293,0.035206378,0.0,0.0,1.0,1.0,0.8,0.4,2.8782704
11,2,0.99994797,0.0024127588,0.00457868,0.020561427,0.0,0.0,1.0,1.0,0.8,0.4,2.1291203
