layer,cosine_similarity_mean,cosine_similarity_std,mae_mean,mae_std,top_5_overlap_mean,top_5_overlap_std
0,1.0,0.0,0.0004,0.0002,0.9929,0.0293
1,0.9998,1e-04,0.0015,0.0006,0.9873,0.0303
2,0.9986,0.001,0.0036,0.0014,0.9877,0.0302
3,0.9977,0.0011,0.0051,0.0026,0.983,0.0309
4,0.999,0.0005,0.0033,0.0014,0.9854,0.0301
5,0.9994,0.0003,0.0026,0.0012,0.9816,0.0314
6,0.9996,0.0002,0.0023,0.0009,0.9861,0.031
7,0.9997,0.0002,0.0019,0.0008,0.984,0.0306
8,0.9996,0.0002,0.0021,0.0009,0.9835,0.0305
9,0.9998,1e-04,0.0016,0.0008,0.9804,0.0309
10,0.9998,1e-04,0.0015,0.0006,0.9819,0.0324
11,0.9998,1e-04,0.0017,0.0008,0.9813,0.0307
